Customer,Product,Period,Scenario,Demand
1,1,1,1,10508
1,1,1,2,9641
1,1,1,3,9920
1,1,1,4,10156
1,1,1,5,10599
1,1,1,6,10258
1,1,1,7,8582
1,1,1,8,9212
1,1,1,9,9719
1,1,1,10,9196
1,1,1,11,10028
1,1,1,12,9192
1,1,1,13,10512
1,1,1,14,10156
1,1,1,15,9774
1,1,1,16,10308
1,1,1,17,10795
1,1,1,18,9464
1,1,1,19,9786
1,1,1,20,8843
1,1,2,1,22305
1,1,2,2,17508
1,1,2,3,18963
1,1,2,4,21054
1,1,2,5,19563
1,1,2,6,21430
1,1,2,7,15702
1,1,2,8,18104
1,1,2,9,18562
1,1,2,10,17764
1,1,2,11,16061
1,1,2,12,18629
1,1,2,13,22174
1,1,2,14,21276
1,1,2,15,17399
1,1,2,16,19664
1,1,2,17,21518
1,1,2,18,20419
1,1,2,19,16434
1,1,2,20,16248
1,1,3,1,39134
1,1,3,2,28005
1,1,3,3,28262
1,1,3,4,30873
1,1,3,5,33952
1,1,3,6,34977
1,1,3,7,20762
1,1,3,8,22001
1,1,3,9,27377
1,1,3,10,28552
1,1,3,11,24920
1,1,3,12,26441
1,1,3,13,40075
1,1,3,14,34108
1,1,3,15,28600
1,1,3,16,32096
1,1,3,17,37279
1,1,3,18,31658
1,1,3,19,21895
1,1,3,20,24937
1,1,4,1,51459
1,1,4,2,40108
1,1,4,3,35383
1,1,4,4,44361
1,1,4,5,44840
1,1,4,6,50682
1,1,4,7,25306
1,1,4,8,28724
1,1,4,9,33035
1,1,4,10,36270
1,1,4,11,30162
1,1,4,12,33522
1,1,4,13,50229
1,1,4,14,50244
1,1,4,15,34896
1,1,4,16,46910
1,1,4,17,58109
1,1,4,18,43175
1,1,4,19,28337
1,1,4,20,26702
1,1,5,1,71875
1,1,5,2,50390
1,1,5,3,46176
1,1,5,4,57049
1,1,5,5,57747
1,1,5,6,68710
1,1,5,7,27446
1,1,5,8,31264
1,1,5,9,37074
1,1,5,10,41266
1,1,5,11,36551
1,1,5,12,40981
1,1,5,13,73669
1,1,5,14,69484
1,1,5,15,39781
1,1,5,16,58302
1,1,5,17,73317
1,1,5,18,54894
1,1,5,19,30940
1,1,5,20,31830
1,1,6,1,84597
1,1,6,2,57151
1,1,6,3,46535
1,1,6,4,78883
1,1,6,5,64099
1,1,6,6,79632
1,1,6,7,25412
1,1,6,8,32939
1,1,6,9,39721
1,1,6,10,46363
1,1,6,11,38644
1,1,6,12,39247
1,1,6,13,89777
1,1,6,14,76128
1,1,6,15,45260
1,1,6,16,70986
1,1,6,17,86962
1,1,6,18,66032
1,1,6,19,29917
1,1,6,20,34468
1,1,7,1,100623
1,1,7,2,73179
1,1,7,3,58054
1,1,7,4,84900
1,1,7,5,75241
1,1,7,6,94056
1,1,7,7,22158
1,1,7,8,32009
1,1,7,9,44180
1,1,7,10,52775
1,1,7,11,38806
1,1,7,12,47314
1,1,7,13,111418
1,1,7,14,100462
1,1,7,15,51892
1,1,7,16,87880
1,1,7,17,105686
1,1,7,18,78254
1,1,7,19,27923
1,1,7,20,33812
1,1,8,1,127207
1,1,8,2,69661
1,1,8,3,60307
1,1,8,4,96129
1,1,8,5,89280
1,1,8,6,112362
1,1,8,7,18256
1,1,8,8,32200
1,1,8,9,43290
1,1,8,10,51958
1,1,8,11,40857
1,1,8,12,49583
1,1,8,13,136238
1,1,8,14,120280
1,1,8,15,48620
1,1,8,16,101919
1,1,8,17,135415
1,1,8,18,99819
1,1,8,19,28110
1,1,8,20,34185
1,1,9,1,137336
1,1,9,2,82263
1,1,9,3,67156
1,1,9,4,117088
1,1,9,5,105605
1,1,9,6,137162
1,1,9,7,11093
1,1,9,8,27116
1,1,9,9,45313
1,1,9,10,57068
1,1,9,11,38368
1,1,9,12,58171
1,1,9,13,170678
1,1,9,14,136300
1,1,9,15,56695
1,1,9,16,105932
1,1,9,17,154746
1,1,9,18,108343
1,1,9,19,24220
1,1,9,20,34175
1,1,10,1,162977
1,1,10,2,86317
1,1,10,3,76717
1,1,10,4,129714
1,1,10,5,116492
1,1,10,6,154472
1,1,10,7,3059
1,1,10,8,22213
1,1,10,9,45596
1,1,10,10,62289
1,1,10,11,39861
1,1,10,12,52680
1,1,10,13,189288
1,1,10,14,167024
1,1,10,15,60568
1,1,10,16,136533
1,1,10,17,176957
1,1,10,18,124577
1,1,10,19,17819
1,1,10,20,29230
1,2,1,1,7494
1,2,1,2,6776
1,2,1,3,6295
1,2,1,4,7059
1,2,1,5,6621
1,2,1,6,7769
1,2,1,7,6148
1,2,1,8,6466
1,2,1,9,6104
1,2,1,10,6510
1,2,1,11,6172
1,2,1,12,6580
1,2,1,13,7530
1,2,1,14,7776
1,2,1,15,6521
1,2,1,16,6631
1,2,1,17,6814
1,2,1,18,7231
1,2,1,19,6123
1,2,1,20,6286
1,2,2,1,17249
1,2,2,2,15041
1,2,2,3,14190
1,2,2,4,15527
1,2,2,5,14628
1,2,2,6,17351
1,2,2,7,11984
1,2,2,8,12090
1,2,2,9,13004
1,2,2,10,14071
1,2,2,11,11778
1,2,2,12,13680
1,2,2,13,16479
1,2,2,14,16480
1,2,2,15,13351
1,2,2,16,16172
1,2,2,17,17595
1,2,2,18,15365
1,2,2,19,12713
1,2,2,20,11433
1,2,3,1,23903
1,2,3,2,20235
1,2,3,3,19847
1,2,3,4,23330
1,2,3,5,22028
1,2,3,6,23940
1,2,3,7,16019
1,2,3,8,15881
1,2,3,9,18774
1,2,3,10,18584
1,2,3,11,17333
1,2,3,12,18544
1,2,3,13,27638
1,2,3,14,25120
1,2,3,15,16784
1,2,3,16,21601
1,2,3,17,24716
1,2,3,18,22764
1,2,3,19,16285
1,2,3,20,17665
1,2,4,1,32533
1,2,4,2,26385
1,2,4,3,25358
1,2,4,4,30903
1,2,4,5,27309
1,2,4,6,32105
1,2,4,7,17492
1,2,4,8,19580
1,2,4,9,20878
1,2,4,10,21938
1,2,4,11,20038
1,2,4,12,21450
1,2,4,13,36966
1,2,4,14,31883
1,2,4,15,22511
1,2,4,16,30394
1,2,4,17,35400
1,2,4,18,27054
1,2,4,19,18378
1,2,4,20,19680
1,2,5,1,49182
1,2,5,2,34868
1,2,5,3,32209
1,2,5,4,40978
1,2,5,5,39682
1,2,5,6,45786
1,2,5,7,18422
1,2,5,8,21350
1,2,5,9,26682
1,2,5,10,26941
1,2,5,11,24403
1,2,5,12,28200
1,2,5,13,50899
1,2,5,14,46688
1,2,5,15,27423
1,2,5,16,41419
1,2,5,17,47125
1,2,5,18,40085
1,2,5,19,21123
1,2,5,20,22278
1,2,6,1,61969
1,2,6,2,41791
1,2,6,3,34019
1,2,6,4,53896
1,2,6,5,51096
1,2,6,6,58561
1,2,6,7,17511
1,2,6,8,23098
1,2,6,9,29474
1,2,6,10,34310
1,2,6,11,26905
1,2,6,12,34022
1,2,6,13,60884
1,2,6,14,58744
1,2,6,15,32875
1,2,6,16,48149
1,2,6,17,60592
1,2,6,18,47868
1,2,6,19,21625
1,2,6,20,24169
1,2,7,1,73433
1,2,7,2,46751
1,2,7,3,42123
1,2,7,4,61989
1,2,7,5,59131
1,2,7,6,70953
1,2,7,7,15868
1,2,7,8,23534
1,2,7,9,32249
1,2,7,10,37402
1,2,7,11,30182
1,2,7,12,35725
1,2,7,13,81850
1,2,7,14,69324
1,2,7,15,38238
1,2,7,16,61960
1,2,7,17,75327
1,2,7,18,58409
1,2,7,19,22005
1,2,7,20,28386
1,2,8,1,96400
1,2,8,2,53024
1,2,8,3,48496
1,2,8,4,74599
1,2,8,5,60061
1,2,8,6,84620
1,2,8,7,12486
1,2,8,8,22649
1,2,8,9,33653
1,2,8,10,39049
1,2,8,11,29937
1,2,8,12,38458
1,2,8,13,104839
1,2,8,14,92356
1,2,8,15,40091
1,2,8,16,70232
1,2,8,17,95261
1,2,8,18,64807
1,2,8,19,19851
1,2,8,20,25315
1,2,9,1,115061
1,2,9,2,64876
1,2,9,3,49797
1,2,9,4,87057
1,2,9,5,74759
1,2,9,6,106429
1,2,9,7,8586
1,2,9,8,19681
1,2,9,9,34981
1,2,9,10,41758
1,2,9,11,31562
1,2,9,12,37792
1,2,9,13,110127
1,2,9,14,102197
1,2,9,15,42417
1,2,9,16,85009
1,2,9,17,107477
1,2,9,18,75062
1,2,9,19,16406
1,2,9,20,25589
1,2,10,1,126961
1,2,10,2,61758
1,2,10,3,50177
1,2,10,4,98631
1,2,10,5,87808
1,2,10,6,109780
1,2,10,7,2359
1,2,10,8,16988
1,2,10,9,32845
1,2,10,10,40623
1,2,10,11,28027
1,2,10,12,41528
1,2,10,13,132233
1,2,10,14,106108
1,2,10,15,41373
1,2,10,16,95688
1,2,10,17,128813
1,2,10,18,84124
1,2,10,19,12559
1,2,10,20,22661
1,3,1,1,55429
1,3,1,2,53772
1,3,1,3,54243
1,3,1,4,52520
1,3,1,5,52816
1,3,1,6,56700
1,3,1,7,44778
1,3,1,8,48776
1,3,1,9,50691
1,3,1,10,45515
1,3,1,11,48963
1,3,1,12,53263
1,3,1,13,55614
1,3,1,14,54444
1,3,1,15,52758
1,3,1,16,57031
1,3,1,17,56287
1,3,1,18,51813
1,3,1,19,50624
1,3,1,20,49077
1,3,2,1,121138
1,3,2,2,97457
1,3,2,3,93167
1,3,2,4,98095
1,3,2,5,108338
1,3,2,6,108306
1,3,2,7,85348
1,3,2,8,81695
1,3,2,9,87599
1,3,2,10,91414
1,3,2,11,81158
1,3,2,12,93388
1,3,2,13,115692
1,3,2,14,105375
1,3,2,15,90219
1,3,2,16,107663
1,3,2,17,110762
